Station_levl,测站级别
TEM_Avg_StPas_10_EDay,日平均气温稳定通过10.0℃之止日
ACTEM_TEM_Avg_StPas_10,日平均气温稳定通过10.0℃之积温
PRE_TEM_Avg_StPas_10,日平均气温稳定通过10.0℃之降水量
SSH_TEM_Avg_StPas_10,日平均气温稳定通过10.0℃之日照时数
TEM_Avg_StPas_15_SMon,日平均气温稳定通过15.0℃之起始月
TEM_Avg_StPas_15_SDay,日平均气温稳定通过15.0℃之起日
TEM_Avg_StPas_15_EMon,日平均气温稳定通过15.0℃之止月
TEM_Avg_StPas_15_EDay,日平均气温稳定通过15.0℃之止日
ACTEM_TEM_Avg_StPas_15,日平均气温稳定通过15.0℃之积温
PRE_TEM_Avg_StPas_15,日平均气温稳定通过15.0℃之降水量
SSH_TEM_Avg_StPas_15,日平均气温稳定通过15.0℃之日照时数
TEM_Avg_StPas_20_SMon,日平均气温稳定通过20.0℃之起始月
TEM_Avg_StPas_20_SDay,日平均气温稳定通过20.0℃之起日
TEM_Avg_StPas_20_EMon,日平均气温稳定通过20.0℃之止月
TEM_Avg_StPas_20_EDay,日平均气温稳定通过20.0℃之止日
ACTEM_TEM_Avg_StPas_20,日平均气温稳定通过20.0℃之积温
PRE_TEM_Avg_StPas_20,日平均气温稳定通过20.0℃之降水量
SSH_TEM_Avg_StPas_20,日平均气温稳定通过20.0℃之日照时数
TEM_Avg_StPas_22_SMon,日平均气温稳定通过22.0℃之起始月
TEM_Avg_StPas_22_SDay,日平均气温稳定通过22.0℃之起日
TEM_Avg_StPas_22_EMon,日平均气温稳定通过22.0℃之止月
TEM_Avg_StPas_22_EDay,日平均气温稳定通过22.0℃之止日
ACTEM_TEM_Avg_StPas_22,日平均气温稳定通过22.0℃之积温
PRE_TEM_Avg_StPas_22,日平均气温稳定通过22.0℃之降水量
SSH_TEM_Avg_StPas_22,日平均气温稳定通过22.0℃之日照时数
V13007_067,最小相对湿度出现月日
V13052_067,最大日降水量出现月日
PRE_LCDays_EMon,最长连续降水止月
NPRE_LCDays_EMon,最长连续无降水止月
PRE_Coti_Max_EMon,最大连续降水止月
PRE_Max_1h_Odate,1小时最大降水量出现月日
PRE_Max_1h_OMon,1小时最大降水量出现月
PRE_Max_1h_ODay,1小时最大降水量出现日
PRE_Max_5mi_Year,年最大5分钟降水量
PRE_Max_5mi_Year_Stime,年最大5分钟降水起始时间（MMddhhmm）
PRE_Max_10mi_Year,年最大10分钟降水量
PRE_Max_10mi_Year_Stime,年最大10分钟降水起始时间
PRE_Max_15mi_Year,年最大15分钟降水量
PRE_Max_15mi_Year_Stime,年最大15分钟降水起始时间
PRE_Max_20mi_Year,年最大20分钟降水量
PRE_Max_20mi_Year_Stime,年最大20分钟降水起始时间
PRE_Max_30mi_Year,年最大30分钟降水量
PRE_Max_30mi_Year_Stime,年最大30分钟降水起始时间
PRE_Max_45mi_Year,年最大45分钟降水量
PRE_Max_45mi_Year_Stime,年最大45分钟降水起始时间
PRE_Max_60mi_Year,年最大60分钟降水量
PRE_Max_60mi_Year_Stime,年最大60分钟降水起始时间
PRE_Max_90mi_Year,年最大90分钟降水量
PRE_Max_90mi_Year_Stime,年最大90分钟降水起始时间
PRE_Max_120mi_Year,年最大120分钟降水量
PRE_Max_120mi_Year_Stime,年最大120分钟降水起始时间
PRE_Max_180mi_Year,年最大180分钟降水量
PRE_Max_180mi_Year_Stime,年最大180分钟降水起始时间
PRE_Max_240mi_Year,年最大240分钟降水量
PRE_Max_240mi_Year_Stime,年最大240分钟降水起始时间
PRE_Max_360mi_Year,年最大360分钟降水量
PRE_Max_360mi_Year_Stime,年最大360分钟降水起始时间
PRE_Max_540mi_Year,年最大540分钟降水量
PRE_Max_540mi_Year_Stime,年最大540分钟降水起始时间
PRE_Max_720mi_Year,年最大720分钟降水量
PRE_Max_720mi_Year_Stime,年最大720分钟降水起始时间
V13382_1440,年最大1440分钟降水量
V13382_1440_STIME,年最大1440分钟降水起始时间
V13334_067,最大积雪深度出现月日
V13330_067,最大雪压出现月日
EICED_Max_Odate,电线积冰最大重量出现月日
EICEW_Max_OMon,电线积冰最大重量出现月
EICEW_Max_ODay,电线积冰最大重量出现日
V11042_067,最大风速出现月日
WIN_S_INST_Max_ODate_C,极大风速出现日期
V12311_067,极端最高地面气温出现月日
V12121_067,极端最低地面气温出现月日
LGST_Max_Odate,极端最高草面(雪面)温度出现月日
LGST_Min_Odate,极端最低草面(雪面)温度出现月日
FRS_Depth_Max_Odate,最大冻土深度出现月日
PRS,平均气压
TEM,平均气温
RHU,相对湿度
WIN_D_Avg_10mi,平均风速的风向
WIN_S_Avg_10mi,平均风速
